municipio,actividad_principal,codigo_ciiu,cargo_del_solicitante,clasificación_de_la_empresa,sector_económico
medellin,mantenimiento y reparación especializado de productos elaborados en metal y de maquinaria y equipo.,c.33.331.,coordinadora de recurso humano,pequeña,servicios
medellin,"instalación, mantenimiento y reparación especializada de maquinaria y equipo.",c.33.,consultor,mediana,servicios
medellin,actividades veterinarias.,m.75..,directora,pequeña,otro
envigado,actividades veterinarias.,m.75..,coordinador,pequeña,servicios
medellin,actividades veterinarias.,m.75..,gerente,pequeña,servicios
medellin,comercio al por mayor especializado de otros productos.,g.46.466.,asistente de gestion humana,pequeña,"comercio, hoteles y restaurantes"
medellin,"actividades de restaurantes, cafeterías y servicio móvil de comidas.",i.56.561.,administradora,pequeña,"comercio, hoteles y restaurantes"
medellin,transporte terrestre público automotor.,h.49.492.,auxiliar de gestión humana,mediana,transporte y almacenamiento
medellin,construcción de otras obras de ingeniería civil.,f.42.429.,residente siso,mediana,construccion
medellin,actividades de arquitectura e ingeniería y otras actividades conexas de consultoría técnica.,m.71.711.,auxiliar administrativa,pequeña,construccion
medellin,"otras actividades profesionales, científicas y técnicas n.c.p.",m.74.749.,antropólogo,pequeña,"servicios comunales, sociales y personales"
medellin,actividades de arquitectura e ingeniería y otras actividades conexas de consultoría técnica.,m.71.711.,coordinadora de proyectos,mediana,"servicios comunales, sociales y personales"
la ceja,construcción de edificios.,f.41.411.,gerente,pequeña,construccion
rionegro,otras actividades de atención relacionadas con la salud humana.,q.86.869.,auxiliar administrativo,pequeña,"servicios comunales, sociales y personales"
medellin,actividades de seguridad privada.,n.80.801.,auxiliar administrativa,grande,serguridad
medellin,transporte terrestre público automotor.,h.49.492.,auxiliar administrativo,pequeña,transporte y almacenamiento
sabaneta,mantenimiento y reparación especializado de productos elaborados en metal y de maquinaria y equipo.,c.33.331.,analista de selección,mediana,industria manufacturera
medellin,comercio al por mayor de artículos y enseres domésticos (incluidas prendas de vestir).,g.46.464.,directora,pequeña,"comercio, hoteles y restaurantes"
medellin,actividades de otros servicios de comidas.,i.56.562.5629,jefe de recursos humanos,mediana,"comercio, hoteles y restaurantes"
medellin,otras actividades de atención relacionadas con la salud humana.,q.86.869.,recursos humanos,mediana,salud
medellin,publicidad.,m.73.731.,comunicador,mediana,comunicaciones
medellin,construcción de otras obras de ingeniería civil.,f.42.429.,gerente administrativa,mediana,construccion
medellin,"comercio al por menor de carnes (incluye aves de corral), productos cárnicos, pescados y productos de mar, en establecimientos especializados.",g.47.472.4723,director general,pequeña,"comercio, hoteles y restaurantes"
medellin,publicidad y estudios de mercado.,m.73.,socio,pequeña,publicidad
medellin,mantenimiento y reparación especializado de maquinaria y equipo.,c.33.331.3312,recursos humanos,mediana,industria manufacturera
medellin,actividades de impresión y actividades de servicios relacionados con la impresión.,c.18.181.,recursos humanos,pequeña,impresión
medellin,actividades de juegos de azar y apuestas.,r.92.,area administrativa,mediana,"comercio, hoteles y restaurantes"
medellin,otras actividades especializadas para la construcción de edificios y obras de ingeniería civil.,f.43.439.,asistente de recursos humanos,pequeña,construccion
medellin,otras actividades de atención relacionadas con la salud humana.,q.86.869.,asistente comercial,pequeña,salud
medellin,fabricación de artículos en plástico n.c.p.,c.22.222.2229,coordinadora gestion humama,pequeña,industria manufacturera
medellin,fabricación de tejidos de punto y ganchillo.,c.13.139.1391,gerente financiera,pequeña,industria manufacturera
medellin,comercio al por mayor de maquinaria y equipo.,g.46.465.,administradora,pequeña,industria manufacturera
